Star,Apparent Magnitude
Absolutno,12.1
Achernar,0.46
Achird,3.44
Acrab,2.50
Adhafera,3.41
Adhara,1.50
Albaldah,2.88
Albali,3.77
Albireo,3.08
Alcyone,2.87
Aldebaran,0.86
Aldhanab,3.01
Aldhibah,3.17
Aldulfin,4.03
Alfirk,3.23
Algedi,3.58
Algenib,2.84
Algol,2.12
Algorab,2.94
Alhena,1.92
Alioth,1.77
Alkaid,1.86
Alkarab,4.40
Alkes,4.07
Almaaz,2.99
Almach,2.10
Alnair,1.71
Alnasl,2.99
Alnilam,1.69
Alnitak,1.77
Alniyat,2.89
Alphard,1.97
Alphecca,2.24
Alpheratz,2.06
Alsciaukat,4.25
Alshat,4.76
Altair,0.76
Altais,3.07
Alterf,4.31
Aludra,2.45
Alula Australis,3.79
Alula Borealis,3.49
Alzirr,3.36
Anadolu,12.0
Ancha,4.16
Angetenar,4.77
Anser,4.45
Antares,0.91
Arcturus,-0.05
Arkab Prior,4.01
Arneb,2.57
Asellus Australis,3.94
Ashlesha,3.38
Aspidiske,2.26
Asterope,5.76
Athebyne,2.74
Atik,3.83
Atlas,3.63
Avior,1.86
Azelfafage,4.66
Azha,3.87
Azmidi,3.30
Barnard's Star,9.511
Baten Kaitos,3.72
Beemim,3.96
Bellatrix,1.64
Betelgeuse,0.42
Biham,3.55
Botein,4.37
Brachium,3.21
Bunda,4.69
Canopus,-0.74
Capella,0.08
Caph,2.27
Castor,1.58
Celaeno,5.46
Cervantes,5.15
Chertan,3.35
Cocibolca,7.79
Cor Caroli,2.88
Cujam,4.58
Cursa,2.79
Deneb,1.25
Deneb Algedi,2.83
Diadem,4.32
Diphda,2.01
Dschubba,2.32
Dubhe,1.79
Edasich,3.29
Electra,3.70
Elnath,1.65
Enif,2.39
Epsilon Eridani,3.73
Fang,2.91
Fawaris,2.87
Felis,4.94
Fomalhaut,1.16
Fulu,3.66
Fumalsamakah,4.52
Fuyue,3.21
Gacrux,1.64
Giausar,3.85
Gienah,2.58
Gomeisa,2.89
Grumium,3.75
Gudja,4.09
Hadar,0.58
Haedus,3.18
Hamal,2.01
Hassaleh,2.69
Hatysa,2.77
Heze,3.38
Homam,3.41
Iklil,3.86
Inquill,6.67
Izar,2.39
Jabbah,4.00
Jishui,4.90
Kaffaljidhma,3.47
Kalausi,8.24
Kang,4.21
Kaus Borealis,2.81
Keid,4.43
Kochab,2.08
Koeia,10.237
Kornephoros,2.77
Kraz,2.64
Kurhah,4.29
La Superba,4.87
Larawag,2.29
Lucilinburhuc,7.88
Maasym,4.41
Macondo,8.33
Mahasim,2.62
Maia,3.87
Marfik,3.90
Markab,2.48
Matar,2.95
Mebsuta,2.98
Meissa,3.66
Mekbuda,3.79
Menkalinan,1.90
Menkar,2.53
Menkent,2.05
Merak,2.37
Merope,4.18
Miaplacidus,1.69
Mimosa,1.25
Minchir,4.43
Minelauva,3.38
Mirach,2.05
Miram,3.79
Mirfak,1.79
Mirzam,1.97
Misam,3.81
Monch,8.04
Morava,12.18
Mothallah,3.42
Muliphein,4.12
Muscida,3.42
Naos,2.25
Nashira,3.67
Natasha,8.55
Nekkar,3.52
Nembus,3.57
Nihal,2.84
Nusakan,3.68
Okab,2.99
Paikauhale,2.81
Phact,2.65
Phoenicia,7.767
Pleione,5.09
Polaris,2.02
Polaris Australis,5.42
Polis,3.85
Pollux,1.14
Porrima,2.74
Praecipua,3.83
Prima Hyadum,3.65
Procyon,0.37
Propus,3.28
Proxima Centauri,11.13
Rana,3.54
Rapeto,7.38
Rasalas,3.88
Rasalhague,2.07
Rastaban,2.81
Rigel,0.13
Rigil Kentaurus,0.01
Rotanev,3.63
Sabik,2.42
Saclateni,3.75
Sadalbari,3.48
Sadalmelik,2.94
Sadalsuud,2.89
Sadr,2.23
Saiph,2.06
Sarin,3.13
Sceptrum,3.87
Scheat,2.42
Schedar,2.23
Secunda Hyadum,3.76
Segin,3.37
Seginus,3.02
Sham,4.38
Sharjah,11.372
Sheliak,3.42
Sheratan,2.65
Sika,7.86
Sirius,-1.46
Skat,3.28
Spica,0.97
Subra,3.52
Suhail,2.21
Syrma,4.08
Taiyangshou,3.72
Talitha,3.14
Tania Australis,3.05
Tania Borealis,3.45
Tapecue,8.10
Tarazed,2.72
Taygeta,4.30
Tejat,2.87
Terebellum,4.70
Theemin,3.82
Tiaki,2.11
Tianguan,3.03
Toliman,1.33
Torcular,4.26
Tureis,2.81
Ukdah,3.91
Unurgunite,3.47
Vega,0.03
Vindemiatrix,2.79
Wasat,3.53
Wazn,3.12
Wezen,1.84
Xamidimura,2.98
Xuange,4.18
Yed Posterior,3.23
Yed Prior,2.75
Zaniah,3.90
Zaurak,2.94
Zavijava,3.60
Zhang,4.11
Zibal,4.80
Zubenelgenubi,2.75
Zubenelhakrabi,3.91
Zubeneschamali,2.62
