Star Name,Distance (pc),Spectral Class,Index
Absolutno,273.84505846592,G8V,0
Acamar,49.431537320810676,A2V,1
Achernar,42.75331338178709,B6Vpe,2
Achird,5.923040746966515,F9V,3
Acrux,98.71668311944718,B0.5IV+B1V,4
Acubens,54.554183214768905,kA7VmF0/2III/IVSr,5
Adhafera,71.23674106156993,F0IIIa,6
Adhara,124.22360248447205,B1.5II,7
Adhil,68.47345284233302,K0-IIIb,8
Ainalrami,543.8625115570784,K1II,9
Aladfar,425.531914893617,B2.5IV,10
Alasia,41.686815294058796,G5V,11
Albaldah,156.25,F2II-III,12
Albali,74.83965603694085,B9.5V,13
Albireo,133.15579227696404,K3II+B9.5V,14
Alchiba,14.976875703913159,F1V,15
Alcor,25.056376847907796,A5V+M3-4V,16
Alcyone,123.60939431396787,B7III,17
Aldebaran,20.43318348998774,K5+III,18
Alderamin,15.037593984962406,A8Vn,19
Aldhanab,56.15453728661276,B8IV-Vs,20
Aldhibah,100.70493454179255,B6III,21
Aldulfin,112.1717573949231,B6IV,22
Alfirk,210.0840336134454,B0.5IIIs,23
Algedi,33.42916360232667,G9III,24
Algenib,143.93873967239543,B2IV,25
Algieba,39.88831272437176,K1-III+G7IIIb,26
Algol,27.570995312930794,B8V,27
Algorab,26.63115845539281,A0IV(n)kB9,28
Alhena,33.51206434316354,A1.5IV+,29
Alioth,25.31004808909137,A1III-IVpkB9,30
Aljanah,23.16053259960766,K0III,31
Alkaid,31.86743148502231,B3V,32
Alkalurops,37.62807656561019,F0IV,33
Alkaphrah,109.89010989010988,A1Vn,34
Alkarab,53.458497495469395,F8III,35
Alkes,49.09348873058966,K0IIIb,36
Almaaz,1012.2482032594392,A9Ia,37
Almach,120.48192771084337,K2+IIb,38
Alnair,30.96934035305048,B6V,39
Alnasl,29.700029700029702,K0+III,40
Alnilam,606.0606060606061,B0Ia,41
Alnitak,225.73363431151242,O9.7Ib+B0III,42
Alniyat,213.67521367521366,B1III+B1:V,43
Alphard,55.279159756771705,K3IIIa,44
Alphecca,23.00966405890474,A1IV,45
Alpheratz,29.744199881023203,B8IV-VHgMn,46
Alpherg,114.50163164825099,G7IIIa,47
Alrakis,27.434842249657063,F6V+F6V,48
Alrescha,46.16805170821792,kA0hA7Sr+kA2hF2mF2(IV),49
Alruba,142.3122900893721,A2V,50
Alsafi,5.7638914105913805,K0V,51
Alsciaukat,117.2332942555686,K4+III,52
Alsephina,24.69745616201531,A2IV+A4V,53
Alshain,13.600834547207816,G8IV,54
Alshat,82.14429466801383,B9IV,55
Altair,5.12952038984355,A7Vn,56
Altais,29.98509740658893,G9III,57
Alterf,114.21392267717435,K4.5III,58
Aludra,609.7560975609756,B5Ia,59
Alula Australis,8.833922261484098,F8.5:V+G2V,60
Alula Borealis,122.39902080783354,K3-III:,61
Alzirr,17.998560115190784,F5IV-V,62
Amadioha,62.43327443794445,G8/K0IV/V,63
Anadolu,174.6358841814816,K2V,64
Ancha,58.51614753091115,G9II,65
Angetenar,59.54862144941345,K0III,66
Aniara,122.41250566157838,K0III,67
Ankaa,25.974025974025974,K0.5IIIb,68
Anser,89.09638446871826,M0.5IIIb,69
Antares,169.77928692699493,M1.5Iab+B2Vn,70
Arcalis,132.50298131707964,K0,71
Arcturus,11.257458065968706,K1.5IIIFe-0.5,72
Arkab Posterior,41.135335252982316,F2/3V,73
Arkab Prior,119.35737986679717,B9V,74
Arneb,680.2721088435375,F0Ib,75
Ascella,27.041644131963224,A2.5Va,76
Asellus Australis,41.969018470565025,K0+IIIb,77
Asellus Borealis,53.639147995773236,A1IV,78
Ashlesha,39.635354736424894,G1III+A8V,79
Aspidiske,234.7417840375587,A7Ib,80
Asterope,136.88691771727377,B8V,81
Athebyne,27.998420889061858,G8-IIIab,82
Atik,343.64261168384877,B1III,83
Atlas,117.2332942555686,B8III,84
Atria,119.76047904191617,K2III_Ba1,85
Avior,185.5287569573284,K3:III+B2:V,86
Axolotl,94.52153200499073,G2V,87
Ayeyarwady,161.66057745158267,G8/K0IV,88
Azelfafage,529.1005291005291,B3III,89
Azha,41.291942290381456,K1+IIIb,90
Azmidi,367.6470588235294,G6Ib,91
Baekdu,163.1907046574627,K0,92
Barnard's Star,1.828234114153841,M4V,93
Baten Kaitos,77.65783955890346,K0.5III,94
