,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
0,Absolutno,273.84505846592,G8V,0,V
1,Acamar,49.43153732081068,A2V,1,V
2,Achernar,42.75331338178709,B6Vpe,2,V
3,Achird,5.923040746966515,F9V,3,V
4,Acrux,98.71668311944718,B0.5IV+B1V,4,IV
5,Acubens,54.554183214768905,kA7VmF0/2III/IVSr,5,V
6,Adhafera,71.23674106156993,F0IIIa,6,III
7,Adhara,124.22360248447204,B1.5II,7,II
8,Adhil,68.47345284233302,K0-IIIb,8,III
9,Ainalrami,543.8625115570784,K1II,9,II
10,Aladfar,425.531914893617,B2.5IV,10,IV
11,Alasia,41.6868152940588,G5V,11,V
12,Albaldah,156.25,F2II-III,12,II
13,Albali,74.83965603694085,B9.5V,13,V
14,Albireo,133.15579227696404,K3II+B9.5V,14,II
15,Alchiba,14.97687570391316,F1V,15,V
16,Alcor,25.0563768479078,A5V+M3-4V,16,V
17,Alcyone,123.60939431396788,B7III,17,III
18,Aldebaran,20.43318348998774,K5+III,18,III
19,Alderamin,15.037593984962406,A8Vn,19,V
20,Aldhanab,56.15453728661276,B8IV-Vs,20,IV
21,Aldhibah,100.70493454179255,B6III,21,III
22,Aldulfin,112.1717573949231,B6IV,22,IV
23,Alfirk,210.0840336134454,B0.5IIIs,23,III
24,Algedi,33.42916360232667,G9III,24,III
25,Algenib,143.93873967239543,B2IV,25,IV
26,Algieba,39.88831272437176,K1-III+G7IIIb,26,III
27,Algol,27.570995312930798,B8V,27,V
28,Algorab,26.63115845539281,A0IV(n)kB9,28,IV
29,Alhena,33.51206434316354,A1.5IV+,29,IV
30,Alioth,25.31004808909137,A1III-IVpkB9,30,III
31,Aljanah,23.16053259960766,K0III,31,III
32,Alkaid,31.86743148502231,B3V,32,V
33,Alkalurops,37.62807656561019,F0IV,33,IV
34,Alkaphrah,109.89010989010988,A1Vn,34,V
35,Alkarab,53.4584974954694,F8III,35,III
36,Alkes,49.09348873058966,K0IIIb,36,III
37,Almaaz,1012.2482032594392,A9Ia,37,I
38,Almach,120.48192771084337,K2+IIb,38,II
39,Alnair,30.96934035305048,B6V,39,V
40,Alnasl,29.700029700029702,K0+III,40,III
41,Alnilam,606.0606060606061,B0Ia,41,I
42,Alnitak,225.7336343115124,O9.7Ib+B0III,42,I
43,Alniyat,213.67521367521368,B1III+B1:V,43,III
44,Alphard,55.279159756771705,K3IIIa,44,III
45,Alphecca,23.00966405890474,A1IV,45,IV
46,Alpheratz,29.744199881023203,B8IV-VHgMn,46,IV
47,Alpherg,114.501631648251,G7IIIa,47,III
48,Alrakis,27.434842249657063,F6V+F6V,48,V
49,Alrescha,46.16805170821792,kA0hA7Sr+kA2hF2mF2(IV),49,IV
50,Alruba,142.3122900893721,A2V,50,V
51,Alsafi,5.7638914105913805,K0V,51,V
52,Alsciaukat,117.2332942555686,K4+III,52,III
53,Alsephina,24.69745616201531,A2IV+A4V,53,IV
54,Alshain,13.600834547207816,G8IV,54,IV
55,Alshat,82.14429466801383,B9IV,55,IV
56,Altair,5.12952038984355,A7Vn,56,V
57,Altais,29.98509740658893,G9III,57,III
58,Alterf,114.21392267717437,K4.5III,58,III
59,Aludra,609.7560975609756,B5Ia,59,I
60,Alula Australis,8.833922261484098,F8.5:V+G2V,60,V
61,Alula Borealis,122.39902080783354,K3-III:,61,III
62,Alzirr,17.998560115190784,F5IV-V,62,IV
63,Amadioha,62.43327443794445,G8/K0IV/V,63,IV
64,Anadolu,174.6358841814816,K2V,64,V
65,Ancha,58.51614753091115,G9II,65,II
66,Angetenar,59.54862144941345,K0III,66,III
67,Aniara,122.41250566157838,K0III,67,III
68,Ankaa,25.97402597402597,K0.5IIIb,68,III
69,Anser,89.09638446871826,M0.5IIIb,69,III
70,Antares,169.77928692699493,M1.5Iab+B2Vn,70,I
71,Arcalis,132.50298131707964,K0,71,
72,Arcturus,11.257458065968706,K1.5IIIFe-0.5,72,III
73,Arkab Posterior,41.13533525298232,F2/3V,73,V
74,Arkab Prior,119.35737986679716,B9V,74,V
75,Arneb,680.2721088435375,F0Ib,75,I
76,Ascella,27.041644131963224,A2.5Va,76,V
77,Asellus Australis,41.96901847056503,K0+IIIb,77,III
78,Asellus Borealis,53.63914799577324,A1IV,78,IV
79,Ashlesha,39.635354736424894,G1III+A8V,79,III
80,Aspidiske,234.7417840375587,A7Ib,80,I
81,Asterope,136.88691771727375,B8V,81,V
82,Athebyne,27.998420889061855,G8-IIIab,82,III
83,Atik,343.6426116838488,B1III,83,III
84,Atlas,117.2332942555686,B8III,84,III
85,Atria,119.76047904191616,K2III_Ba1,85,III
86,Avior,185.5287569573284,K3:III+B2:V,86,III
87,Axolotl,94.52153200499072,G2V,87,V
88,Ayeyarwady,161.66057745158267,G8/K0IV,88,IV
89,Azelfafage,529.1005291005291,B3III,89,III
90,Azha,41.291942290381456,K1+IIIb,90,III
91,Azmidi,367.6470588235294,G6Ib,91,I
92,Baekdu,163.1907046574627,K0,92,
93,Barnard's Star,1.828234114153841,M4V,93,V
94,Baten Kaitos,77.65783955890346,K0.5III,94,III
95,Beemim,89.87148377819716,K3.5III,95,III
96,Beid,38.29994216708733,F0III,96,III
97,Belel,120.52258593260376,K0III,97,III
98,Belenos,44.831791119718815,F8,98,
99,Bellatrix,77.39938080495357,B2V,99,V
100,Berehynia,192.84171551990124,G5,100,
101,Betelgeuse,152.67175572519085,M1-M2Ia-Iab,101,I
102,Bharani,50.78720162519045,B8Vn,102,V
103,Bibha,103.32393085562546,G1V,103,V
104,Biham,27.19771104063882,A1Va,104,V
105,Bosona,147.8480713219096,K0III,105,III
106,Botein,50.57375929924999,G9.5IIIb,106,III
107,Brachium,79.75308445054112,M2.5III,107,III
108,Bubup,38.04393313398312,F9.5V,108,V
109,Buna,59.99880002399952,G2,109,
110,Bunda,54.84741449288081,K0III,110,III
111,Canopus,94.7867298578199,A9II,111,II
112,Capella,13.123359580052492,G3III:,112,III
113,Caph,16.784155756965426,F2III,113,III
114,Castor,15.595757953836554,A1V+A2Vm,114,V
115,Castula,60.07268795242244,G8.5IIIbFe-0.5,115,III
116,Cebalrai,25.49173557932518,K2IIICN0.5,116,III
117,Ceibo,37.65896791832523,K3Vk:,117,V
118,Celaeno,135.4059470291935,B7IV,118,IV
119,Cervantes,15.604202523823716,G3IV-V,119,IV
120,Chalawan,13.88753871151416,G1-VFe-0.5,120,V
121,Chamukuy,45.845272206303726,A7III,121,III
122,Chaophraya,182.26556092226372,G9V,122,V
123,Chara,8.47266633114908,G0V,123,V
124,Chason,310.71339796172015,G1V,124,V
125,Chechia,72.85231378948596,G8IV,125,IV
126,Chertan,49.22228785193936,A2IV,126,IV
127,Citadelle,192.24114729516705,K0,127,
128,Citala,29.91772625280479,G0V,128,V
129,Cocibolca,34.10792429405124,G7VFe-1CH-0.5,129,V
130,Copernicus,12.58681757421817,K0IV-V,130,IV
131,Cor Caroli,30.559825442277077,A0VpSiEu,131,V
132,Cujam,76.31607063815498,A2VpCrSr,132,V
133,Cursa,27.58955569779504,A3IV,133,IV
134,Dalim,13.998994872168176,F6V,134,V
135,Deneb,432.9004329004329,A2Ia,135,I
136,Deneb Algedi,11.866619200189866,kA5hF0mF2III,136,III
137,Denebola,10.99989000109999,A3Va,137,V
138,Diadem,17.825311942959,F5V+F6V,138,V
139,Dingolay,139.3009876440024,G6V,139,V
140,Diphda,29.53337271116361,G9.5IIICH-1,140,III
