Star Name,Distance (pc),Image URL,Spectral Class,Center Pixel,L/L_o,Average Color
Absolutno,273.84505846592,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Absolutno&format=jpg,"('G', '8', 'V')",255,0.656,"[0.18407557354925777, 0.2252093279957057, 0.2697989317184364]"
Acamar,49.43153732081068,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Acamar&format=jpg,"('A', '2', 'V')",255,23.60000000000004,"[0.33405011603654416, 0.38383178070734775, 0.43729153598515286]"
Achernar,42.75331338178709,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Achernar&format=jpg,"('B', '6', 'V')",233,97.52120305816788,"[0.44570507710747476, 0.45847512151200503, 0.4740112247040955]"
Achird,5.923040746966515,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Achird&format=jpg,"('F', '9', 'V')",255,1.1936696742331518,"[0.37773370776278403, 0.3622124472940845, 0.3359493691857816]"
Acubens,54.554183214768905,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Acubens&format=jpg,"('A', '7', 'V')",255,8.149286787824618,"[0.2444099031193941, 0.32214194401701723, 0.39871823912143534]"
Adhafera,71.23674106156993,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Adhafera&format=jpg,"('F', '0', 'III')",255,27.00000000000001,"[0.3530329796745884, 0.38066733867523195, 0.40981200845136195]"
Adhil,68.47345284233302,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Adhil&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.29894308431739447, 0.24825384845197102, 0.19644899392528997]"
Alasia,41.6868152940588,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alasia&format=jpg,"('G', '5', 'V')",255,0.8022550703894884,"[0.26955811472005853, 0.20265488807870902, 0.13866642667146656]"
Albali,74.83965603694085,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Albali&format=jpg,"('B', '9.5', 'V')",255,-1856.0377468477816,"[0.2570933786620061, 0.32801998292194373, 0.40004884004884006]"
Alchiba,14.97687570391316,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alchiba&format=jpg,"('F', '1', 'V')",255,4.514093709702788,"[0.3429875611223421, 0.35614867592474786, 0.37327942472350634]"
