sp,T_eff,L/L_o,R/R_o
O5,40900,1140000,21.2
O6,38500,998000,22.4
O7,36200,877000,23.8
O8,34000,769000,25.3
B0,26200,429000,31.7
B1,21400,261000,37.3
B2,17600,157000,42.8
B3,16000,123000,45.8
B5,13600,79100,51.1
B6,12600,65200,53.8
B7,11800,54800,56.4
B8,11100,47200,58.9
B9,10500,41600,61.8
A0,9980,37500,64.9
A1,9660,35400,67.3
A2,9380,33700,69.7
A5,8610,30500,78.6
A8,7910,29100,91.1
F0,7460,28800,102
F2,7030,28700,114
F5,6370,29100,140
F8,5750,29700,174
G0,5370,30300,202
G2,5190,30800,218
G8,4700,32400,272
K0,4550,33100,293
K1,4430,34000,314
K3,4190,36100,362
K4,4090,37500,386
K5,3990,39200,415
K7,3830,43200,473
M0,3620,51900,579
M1,3490,60300,672
M2,3370,72100,791
M3,3210,89500,967
M4,3060,117000,1220
M5,2880,165000,1640
M6,2710,264000,2340
